Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,Math (18x18),Chip Globals,PLL
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.caxi4interconnect_DWC_DownConv_Hold_Reg_Rd/Primitives,49,64,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.rdCmdFifo/fifo_ctrl_inst/Primitives,40,16,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.rdCmdFifo/genblk1[0].ram/mem_mem_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.rdCmdFifo/genblk1[0].ram/mem_mem_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.rdCmdFifo/genblk1[0].ram/mem_mem_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/genblk1.widthConvrd/Primitives,403,152,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/readWidthConv/rdCmdFifoWriteCtrl/Primitives,450,143,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/DWC_DownConv_preCalcCmdFifoWrCtrl_inst/DWC_DownConv_Calc_Hold_Reg_Ctrl/Primitives,3,1,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/DWC_DownConv_preCalcCmdFifoWrCtrl_inst/Primitives,205,105,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/caxi4interconnect_DWC_DownConv_Hold_Reg_Wr/DWC_DownConv_Hold_Reg_Ctrl/Primitives,2,1,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/caxi4interconnect_DWC_DownConv_Hold_Reg_Wr/Primitives,34,45,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/genblk1.BrespCmdFifo/fifo_ctrl_inst/Primitives,40,16,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/genblk1.BrespCmdFifo/genblk1[0].ram/mem_mem_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/genblk1.brespCtrl/Primitives,8,10,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/widthConvwr/Primitives,221,129,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/wrCmdFifo/fifo_ctrl_inst/Primitives,40,16,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/wrCmdFifo/genblk1[0].ram/Primitives,1,0,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/wrCmdFifo/genblk1[0].ram/mem_mem_0_0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/wrCmdFifo/genblk1[0].ram/mem_mem_0_1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/wrCmdFifo/genblk1[0].ram/mem_mem_0_2/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/SlvConvertor_loop[0].slvcnv/slvdwc/genblk1.DownConverter_inst/writeWidthConv/wrCmdFifoWriteCtrl/Primitives,485,149,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_1/FIC0_INITIATOR_inst_0/FIC0_INITIATOR_0/arst_aclk_sync/Primitives,0,2,0,0,0,0,0,0,1,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_A0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_A1_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_A2_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_A3_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_A4_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_A5_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_CKE0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_CS0_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DM0_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DM1_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DM2_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DM3_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ0_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ10_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ11_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ12_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ13_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ14_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ15_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ16_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ17_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ18_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ19_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ1_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ20_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ21_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ22_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ23_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ24_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ25_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ26_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ27_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ28_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
MSS_WRAPPER_1/ICICLE_MSS_inst_0/DDR_DQ29_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0,0
